 Time Control                                                Count 
[Event "Rated Bullet game"] [TimeControl "0+1"]              47033
[Event "Rated Bullet tournament"] [TimeControl "0+1"]        350
[Event "Rated Bullet game"] [TimeControl "0+2"]              14934
[Event "Rated Bullet tournament"] [TimeControl "0+2"]        11477
[Event "Rated Bullet game"] [TimeControl "0+3"]              10518
[Event "Rated Bullet game"] [TimeControl "0+4"]              15276
[Event "Rated Blitz game"] [TimeControl "0+5"]               1751
[Event "Rated Blitz game"] [TimeControl "0+6"]               40
[Event "Rated Blitz game"] [TimeControl "0+7"]               143
[Event "Rated Blitz game"] [TimeControl "0+8"]               199
[Event "Rated Blitz game"] [TimeControl "0+9"]               12
[Event "Rated Blitz game"] [TimeControl "0+10"]              528
[Event "Rated Blitz game"] [TimeControl "0+11"]              102
[Event "Rated Classical game"] [TimeControl "0+12"]          631
[Event "Rated Classical game"] [TimeControl "0+13"]          4
[Event "Rated Classical game"] [TimeControl "0+14"]          1
[Event "Rated Classical game"] [TimeControl "0+15"]          215
[Event "Rated Classical game"] [TimeControl "0+16"]          9
[Event "Rated Classical game"] [TimeControl "0+17"]          3
[Event "Rated Classical game"] [TimeControl "0+18"]          2
[Event "Rated Classical game"] [TimeControl "0+19"]          7
[Event "Rated Classical game"] [TimeControl "0+20"]          59
[Event "Rated Classical game"] [TimeControl "0+25"]          3
[Event "Rated Classical game"] [TimeControl "0+30"]          90
[Event "Rated Classical game"] [TimeControl "0+35"]          3
[Event "Rated Classical game"] [TimeControl "0+40"]          35
[Event "Rated Classical game"] [TimeControl "0+45"]          21
[Event "Rated Classical game"] [TimeControl "0+60"]          5
[Event "Rated Classical game"] [TimeControl "0+90"]          8
[Event "Rated Classical game"] [TimeControl "0+180"]         103
[Event "Rated UltraBullet game"] [TimeControl "15+0"]        118013
[Event "Rated UltraBullet tournament"] [TimeControl "15+0"]  253039
[Event "Rated Bullet game"] [TimeControl "15+1"]             2340
[Event "Rated Bullet tournament"] [TimeControl "15+1"]       13
[Event "Rated Bullet game"] [TimeControl "15+2"]             503
[Event "Rated Bullet tournament"] [TimeControl "15+2"]       821
[Event "Rated Bullet game"] [TimeControl "15+3"]             736
[Event "Rated Bullet game"] [TimeControl "15+4"]             1212
[Event "Rated Blitz game"] [TimeControl "15+5"]              167
[Event "Rated Blitz game"] [TimeControl "15+6"]              9
[Event "Rated Blitz game"] [TimeControl "15+7"]              20
[Event "Rated Blitz game"] [TimeControl "15+8"]              8
[Event "Rated Blitz game"] [TimeControl "15+9"]              14
[Event "Rated Blitz game"] [TimeControl "15+10"]             58
[Event "Rated Blitz game"] [TimeControl "15+11"]             21
